NAME,UMAP 1,UMAP 2,UMAP 3,UMAP 4,UMAP 5,UMAP 6,UMAP 7,UMAP 8,UMAP 9,UMAP 10,SMILES
ligand264,6.9286337,5.6065946,3.997008,4.003412,3.5530775,3.2050452,4.656665,3.5547652,4.137998,2.689452,C1=CC=C2C(=C1)C(=CS2)C(=O)CC(=O)C(F)(F)F
ligand265,11.551351,9.121673,8.113065,7.4768906,4.880872,4.5374126,6.0568004,3.815555,4.587516,4.1446905,CC(C(=O)C)C(=O)C
ligand266,13.71798,2.2091181,6.302945,4.5315003,1.2701105,5.658503,3.9218273,2.417743,8.427958,8.666386,CC1=C(C=C(C=C1)C(=O)CC(=O)C2=CC(=C(C=C2)C)C)C
ligand267,11.051312,10.8777895,6.256464,6.473303,5.7158904,4.3645296,5.289672,4.8629627,4.794462,3.5779507,CC(=O)C(C1=C(C(=O)C2=CC=CC=C2C1=O)Cl)C(=O)C
ligand268,12.470664,2.3598568,5.5627327,4.764506,0.25971988,6.05015,4.5692134,1.5709399,6.890987,9.042715,CC1=CC=C(C=C1)C(=O)CC(=O)C(F)F
ligand269,6.7374825,5.7706776,3.7503543,3.8512242,4.0640907,3.216618,4.9723854,3.6029909,4.117449,2.2880216,COC(=O)C(=O)CC(=O)C1=CC=NC=C1
ligand27,7.245182,5.424502,3.8798664,3.8393443,3.4510865,3.1056206,4.621346,3.5034547,4.090453,2.6442065,C1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)Cl
ligand270,13.435157,2.3990357,6.2327332,4.808289,1.6116823,5.273931,4.2833247,2.279806,8.433538,9.048711,CCCCCCCCCCCCCCCC(=O)CC(=O)C1=CC=CC=C1
ligand271,14.679233,2.429123,6.785577,4.642048,2.2041957,5.879047,3.1226504,2.0357578,8.586923,7.8276134,C1CCCCCC(=O)C(CCCC1)C(=O)C2=CC=CC=C2
ligand272,6.4228816,5.463562,4.0681133,4.638203,5.921407,3.363281,6.667249,2.9347694,4.265951,3.119336,CC(=O)CC(=O)CCC(=O)OC
ligand273,8.700792,6.002856,5.841406,5.2998886,3.9607632,3.974007,5.291958,2.3441515,4.8248677,4.1807814,CC1(C2CCC1(C(=O)C2C(=O)C(C(C(F)(F)F)(F)F)(F)F)C)C
ligand274,14.538347,2.2161176,6.0969048,4.7297525,1.6223392,5.817164,3.814853,1.7616874,8.292429,7.9860005,CC1=CC=C(S1)C(=O)CC(=O)C(F)(F)F
ligand275,7.2974105,5.1698995,3.9638333,3.7531679,3.3794782,3.0126154,4.447162,3.6084647,4.2660604,2.8651745,C1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)F
ligand276,6.6388497,6.065177,3.84926,4.2051587,4.2867165,3.2151115,5.351517,3.8115146,3.988132,2.387759,CC(=O)C(C1C2=CC=CC=C2OC3=CC=CC=C13)C(=O)C4=CC=CC=C4
ligand277,14.891977,2.221712,6.3510804,4.460146,1.4093773,5.8223815,3.376682,2.4019887,8.443128,7.994157,CC1=CC(=O)C(CC1)C(=O)C
ligand278,7.757264,6.8705735,4.5722046,4.9972415,5.2581387,3.5132432,6.1670675,3.3824818,4.120718,2.6787262,COC(=O)C(=O)CC(=O)C=CC1=CC=CC=C1
ligand279,6.2769217,5.508514,4.1266956,4.7906923,6.211057,3.3728776,6.9390516,2.882798,4.220857,3.2380593,C1C2CC3CC1CC(C2)(C3)C(=O)CC(=O)C(F)(F)F
ligand28,9.112931,5.97991,5.9908943,5.583027,3.6886983,4.0959415,5.2514853,2.318483,4.689378,4.33824,CC(=O)C(CN1C(=O)C2=CC=CC=C2C1=O)C(=O)C
ligand280,8.459335,5.4581122,5.6643853,5.0137897,3.5178652,3.8263283,4.988154,2.6712224,4.699041,3.6631017,COC(=O)C(=O)C(C(=O)C1=CC=CC=C1)Br
ligand281,6.9395833,5.8374753,3.9883547,4.0848985,3.4935539,3.2565455,4.604979,3.5756252,4.0569324,2.6213338,C1=CC=C2C(=C1)C3C(C2=O)C(=O)C4=CC=CC=C34
ligand282,8.319198,5.649788,5.5537734,5.0021963,3.9143806,3.8272116,5.2111893,2.5314143,4.785306,3.7901964,COC(=O)CC1C(=O)CCCCCCCCCCCC1=O
